Timestamp,EventType,SourceIP,DestinationHost,UserPrincipal,Severity,Message,Facility
2026-06-11T09:28:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:29:00Z,VPNLogout,10.20.5.69,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:30:00Z,ConfigChange,10.20.5.49,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:31:00Z,ConfigChange,10.20.5.53,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:32:00Z,PrivilegeEscalation,10.20.5.49,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:33:00Z,VPNLogin,10.20.5.73,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:34:00Z,VPNLogin,10.20.5.73,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:35:00Z,AuthFailure,10.20.5.47,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T09:36:00Z,AuthFailure,10.20.5.55,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T09:37:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:38:00Z,VPNLogout,10.20.5.72,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:39:00Z,VPNLogout,10.20.5.76,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:40:00Z,PrivilegeEscalation,10.20.5.56,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:41:00Z,AuthFailure,10.20.5.59,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T09:42:00Z,AuthSuccess,10.20.5.59,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:43:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:44:00Z,PrivilegeEscalation,10.20.5.58,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:45:00Z,AuthSuccess,10.20.5.67,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:46:00Z,VPNLogin,10.20.5.80,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:47:00Z,VPNLogout,10.20.5.80,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:48:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:49:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:50:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:51:00Z,AuthSuccess,10.20.5.71,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:52:00Z,AuthSuccess,10.20.5.67,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:53:00Z,AuthSuccess,10.20.5.71,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:54:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:55:00Z,VPNLogout,10.20.5.95,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:56:00Z,AuthFailure,10.20.5.76,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T09:57:00Z,PrivilegeEscalation,10.20.5.80,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:58:00Z,VPNLogout,10.20.5.93,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:59:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:00:00Z,AuthFailure,10.20.5.72,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:01:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:02:00Z,AuthFailure,10.20.5.77,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:03:00Z,ConfigChange,10.20.5.81,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T10:04:00Z,FirewallAllow,10.20.5.93,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:05:00Z,AuthFailure,10.20.5.80,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:06:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:07:00Z,FirewallAllow,10.20.5.88,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:08:00Z,ConfigChange,10.20.5.85,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T10:09:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:10:00Z,AuthFailure,10.20.5.84,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:11:00Z,AuthSuccess,10.20.5.85,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:12:00Z,AuthSuccess,10.20.5.86,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:13:00Z,VPNLogin,10.20.5.107,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T10:14:00Z,AuthFailure,10.20.5.87,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:15:00Z,AuthSuccess,10.20.5.89,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:16:00Z,AuthSuccess,10.20.5.96,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:17:00Z,ConfigChange,10.20.5.101,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T10:18:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:19:00Z,AuthFailure,10.20.5.91,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:20:00Z,VPNLogout,10.20.5.114,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T10:21:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:22:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:23:00Z,AuthFailure,10.20.5.98,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:24:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:25:00Z,AuthSuccess,10.20.5.102,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:26:00Z,AuthFailure,10.20.5.103,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:27:00Z,VPNLogout,10.20.5.127,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T10:28:00Z,AuthFailure,10.20.5.103,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:29:00Z,VPNLogin,10.20.5.123,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T10:30:00Z,AuthFailure,10.20.5.104,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:31:00Z,FirewallAllow,10.20.5.115,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:32:00Z,FirewallAllow,10.20.5.119,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:33:00Z,AuthFailure,10.20.5.112,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:34:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:35:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:36:00Z,VPNLogin,10.20.5.133,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T10:37:00Z,AuthFailure,10.20.5.109,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:38:00Z,VPNLogout,10.20.5.131,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T10:39:00Z,FirewallAllow,10.20.5.126,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:40:00Z,AuthFailure,10.20.5.115,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:41:00Z,AuthFailure,10.20.5.120,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:42:00Z,AuthSuccess,10.20.5.121,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T10:43:00Z,ConfigChange,10.20.5.126,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T10:44:00Z,FirewallAllow,10.20.5.127,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:45:00Z,PrivilegeEscalation,10.20.5.125,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T10:46:00Z,AuthFailure,10.20.5.126,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T10:47:00Z,AuthFailure,10.20.5.123,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:48:00Z,VPNLogin,10.20.5.141,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T10:49:00Z,VPNLogout,10.20.5.142,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T10:50:00Z,FirewallAllow,10.20.5.132,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:51:00Z,AuthFailure,10.20.5.131,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:52:00Z,FirewallAllow,10.20.5.134,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:53:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:54:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T10:55:00Z,AuthFailure,10.20.5.133,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T10:56:00Z,ConfigChange,10.20.5.140,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T10:57:00Z,VPNLogout,10.20.5.155,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T10:58:00Z,FirewallAllow,10.20.5.139,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T10:59:00Z,AuthSuccess,10.20.5.134,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:00:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:01:00Z,AuthSuccess,10.20.5.141,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:02:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:03:00Z,AuthFailure,10.20.5.138,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T11:04:00Z,VPNLogin,10.20.5.159,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:05:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:06:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:07:00Z,VPNLogout,10.20.5.166,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T11:08:00Z,FirewallAllow,10.20.5.157,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T11:09:00Z,ConfigChange,10.20.5.147,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:10:00Z,AuthFailure,10.20.5.142,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T11:11:00Z,FirewallAllow,10.20.5.159,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T11:12:00Z,AuthFailure,10.20.5.152,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T11:13:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:14:00Z,ConfigChange,10.20.5.156,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:15:00Z,FirewallAllow,10.20.5.162,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T11:16:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:17:00Z,AuthSuccess,10.20.5.150,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:18:00Z,AuthSuccess,10.20.5.160,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:19:00Z,AuthSuccess,10.20.5.152,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:20:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:21:00Z,AuthSuccess,10.20.5.160,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:22:00Z,VPNLogout,10.20.5.179,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T11:23:00Z,AuthFailure,10.20.5.155,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T11:24:00Z,VPNLogin,10.20.5.180,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:25:00Z,AuthFailure,10.20.5.160,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T11:26:00Z,PrivilegeEscalation,10.20.5.168,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:27:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:28:00Z,AuthFailure,10.20.5.168,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T11:29:00Z,ConfigChange,10.20.5.164,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:30:00Z,VPNLogout,10.20.5.183,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T11:31:00Z,VPNLogin,10.20.5.187,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:32:00Z,VPNLogin,10.20.5.187,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:33:00Z,AuthFailure,10.20.5.168,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T11:34:00Z,AuthFailure,10.20.5.171,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T11:35:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:36:00Z,ConfigChange,10.20.5.179,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:37:00Z,FirewallAllow,10.20.5.183,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T11:38:00Z,PrivilegeEscalation,10.20.5.178,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:39:00Z,VPNLogout,10.20.5.196,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T11:40:00Z,VPNLogin,10.20.5.194,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:41:00Z,VPNLogin,10.20.5.195,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:42:00Z,VPNLogin,10.20.5.196,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:43:00Z,VPNLogout,10.20.5.201,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T11:44:00Z,FirewallAllow,10.20.5.185,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T11:45:00Z,VPNLogin,10.20.5.204,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:46:00Z,VPNLogin,10.20.5.200,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:47:00Z,AuthSuccess,10.20.5.186,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T11:48:00Z,ConfigChange,10.20.5.184,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:49:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T11:50:00Z,VPNLogin,10.20.5.201,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:51:00Z,PrivilegeEscalation,10.20.5.185,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:52:00Z,PrivilegeEscalation,10.20.5.191,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:53:00Z,PrivilegeEscalation,10.20.5.190,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:54:00Z,PrivilegeEscalation,10.20.5.193,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:55:00Z,ConfigChange,10.20.5.193,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T11:56:00Z,AuthFailure,10.20.5.189,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T11:57:00Z,VPNLogin,10.20.5.209,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T11:58:00Z,PrivilegeEscalation,10.20.5.201,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T11:59:00Z,AuthFailure,10.20.5.197,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T12:00:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T12:01:00Z,AuthFailure,10.20.5.193,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T12:02:00Z,AuthFailure,10.20.5.196,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T12:03:00Z,VPNLogout,10.20.5.220,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T12:04:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T12:05:00Z,ConfigChange,10.20.5.207,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T12:06:00Z,FirewallAllow,10.20.5.216,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T12:07:00Z,ConfigChange,10.20.5.203,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T12:08:00Z,AuthSuccess,10.20.5.204,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T12:09:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T12:10:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T12:11:00Z,PrivilegeEscalation,10.20.5.214,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T12:12:00Z,ConfigChange,10.20.5.209,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T12:13:00Z,VPNLogout,10.20.5.230,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T12:14:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T12:15:00Z,VPNLogout,10.20.5.230,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T12:16:00Z,AuthFailure,10.20.5.212,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T12:17:00Z,VPNLogout,10.20.5.231,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T12:18:00Z,PrivilegeEscalation,10.20.5.215,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T12:19:00Z,AuthSuccess,10.20.5.217,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T12:20:00Z,FirewallAllow,10.20.5.228,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T12:21:00Z,VPNLogin,10.20.5.239,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T12:22:00Z,ConfigChange,10.20.5.226,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
